target_file,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
audio/com2_normal_3g-goodloss18_03-10-2025_234619/speaker_251003_234639.wav,2.1447427,3.39101,2.7226274,1.9556804,3.1707819,NISQAv2
audio/com2_normal_3g-goodloss21_03-10-2025_234333/speaker_251003_234353.wav,2.4591095,3.6780555,2.9642913,2.0908487,3.2715008,NISQAv2
audio/com2_normal_3g-goodloss23_03-10-2025_234153/speaker_251003_234211.wav,2.4390576,3.6828258,3.2531617,2.055274,3.3188226,NISQAv2
audio/com2_normal_3g-goodloss25_03-10-2025_234007/speaker_251003_234032.wav,2.091634,3.6274664,2.573748,2.0082526,3.1401894,NISQAv2
audio/com2_normal_3g-goodloss27_03-10-2025_233820/speaker_251003_233840.wav,2.097016,3.6050372,2.6809485,2.0043676,3.207102,NISQAv2
audio/com2_normal_3g-goodloss30_03-10-2025_233536/speaker_251003_233557.wav,1.9488553,3.500582,2.7542045,2.062953,3.2333796,NISQAv2
audio/com2_normal_3g-goodloss33_03-10-2025_233357/speaker_251003_233417.wav,1.779078,3.2938263,2.610008,1.7914209,3.0132153,NISQAv2
audio/com2_normal_3g-goodloss35_03-10-2025_233113/speaker_251003_233134.wav,1.8999687,3.5452032,2.7064126,2.0100117,3.2264326,NISQAv2
audio/com2_normal_3g-goodloss37_03-10-2025_232727/speaker_251003_232749.wav,1.3037432,2.98571,2.033856,1.650141,2.8437426,NISQAv2
audio/com2_normal_3g-goodloss3_03-10-2025_235859/speaker_251003_235921.wav,4.091823,4.241039,3.8182995,3.8078153,4.12534,NISQAv2
audio/com2_normal_3g-goodloss40_03-10-2025_232546/speaker_251003_232605.wav,1.4374765,3.1156628,2.0223193,1.7734332,2.9617276,NISQAv2
audio/com2_normal_3g-goodloss6_03-10-2025_235716/speaker_251003_235738.wav,3.6182144,4.0980744,3.9627864,3.1879263,3.69608,NISQAv2
